Id;Bezeichnung;Länge(cm);Breite(cm);Höhe(cm);Gewicht(kg)
1;Bund;0;0;0;0
2;Bund auf EW.Palette;0;0;0;0
3;CONT. PAL. 240X100;0;0;0;0
4;Cont. Palette;0;0;0;0
5;Einwegpalette;0;0;0;0
6;EP 110;0;0;0;0
7;Europalette;0;0;0;0
8;EW Palette;0;0;0;0
9;EWP;0;0;0;0
10;GB - 80 Kiste;0;0;0;0
11;GB 80 Kiste;0;0;0;0
12;Gitterbox K;0;0;0;0
13;Gitterbox K - Kiste;0;0;0;0
14;Holzkiste;0;0;0;0
15;Kiste;0;0;0;0
16;Kleinteilebox lack.;0;0;0;0
17;Lico - Palette;0;0;0;0
18;Lose;0;0;0;0
19;Palette;0;0;0;0
20;PALETTE  SD  150;0;0;0;0
21;PALETTE  SD  75;0;0;0;0
22;RP 120x80;0;0;0;0
23;RP 150x80;0;0;0;0
24;RP 80x120;0;0;0;0
25;RP 80x150;0;0;0;0
26;Rungenpalette RP 120;0;0;0;0
27;Rungenpalette RP 150;0;0;0;0
28;SD Runge;0;0;0;0
29;Stapelrunge Maximo;0;0;0;0
30;Transportschlitten;0;0;0;0
31;USP - 104;0;0;0;0
32;USP - 72;0;0;0;0
33;USP-Palette 104;0;0;0;0
